Method,Portfolio,Date,n_firms,raw_weight_sum,capped_weight_sum,max_raw_weight,max_capped_weight,n_names_capped
Method3_ProbQ5,Q5,2011-04-30,62,1.0000000000000004,1.0,0.18211091623418693,0.05,7
Method1_Raw,Q1,2011-05-31,63,1.0000000000000002,1.0000000000000002,0.5754583021990781,0.05000000000000002,3
Method1_Raw,Q2,2011-05-31,61,1.0,1.0,0.22392377621360027,0.05,5
Method1_Raw,Q3,2011-05-31,63,0.9999999999999997,0.9999999999999999,0.2839159482733722,0.04999999999999999,4
Method1_Raw,Q4,2011-05-31,62,1.0,0.9999999999999999,0.15862218214016677,0.05,5
Method1_Raw,Q5,2011-05-31,62,1.0000000000000002,1.0,0.1795395623960487,0.05,7
Method2_PostMean,Q1,2011-05-31,62,1.0,1.0000000000000002,0.5645663462381392,0.05000000000000001,3
Method2_PostMean,Q2,2011-05-31,62,1.0000000000000002,1.0,0.2293704198478708,0.05,5
Method2_PostMean,Q3,2011-05-31,64,1.0,1.0,0.27790192899016036,0.04999999999999999,4
Method2_PostMean,Q4,2011-05-31,60,1.0,1.0,0.16259581581651966,0.05,5
Method2_PostMean,Q5,2011-05-31,63,1.0,1.0,0.17790963415634078,0.05,7
Method3_ProbQ5,Q1,2011-05-31,61,0.9999999999999998,1.0,0.3194353646364343,0.05,6
Method3_ProbQ5,Q2,2011-05-31,61,1.0,1.0000000000000002,0.15370426413601396,0.05,5
Method3_ProbQ5,Q3,2011-05-31,63,0.9999999999999999,0.9999999999999999,0.2678929605388906,0.05,6
Method3_ProbQ5,Q4,2011-05-31,64,1.0,0.9999999999999999,0.21391304450619908,0.04999999999999999,4
Method3_ProbQ5,Q5,2011-05-31,62,1.0,1.0,0.1799618277165208,0.05000000000000001,7
Method1_Raw,Q1,2011-06-30,63,0.9999999999999999,0.9999999999999999,0.5902327977251223,0.05,3
Method1_Raw,Q2,2011-06-30,61,0.9999999999999998,1.0,0.2141592556544392,0.05,5
Method1_Raw,Q3,2011-06-30,63,0.9999999999999999,1.0,0.2824282614874642,0.05000000000000001,4
Method1_Raw,Q4,2011-06-30,62,0.9999999999999999,1.0000000000000002,0.1650530573582613,0.05000000000000001,5
Method1_Raw,Q5,2011-06-30,62,0.9999999999999999,0.9999999999999999,0.17041952112608225,0.05,7
