Method,Portfolio,Date,n_firms,raw_weight_sum,ucits_weight_sum,max_raw_weight,max_ucits_weight,large_position_weight,n_large_positions,n_names_single_cap_binding,aggregate_cap_relaxed
Method1_Raw,Q3,2011-03-31,59,1.0000000000000002,0.9999999999999999,0.3345546307111442,0.1,0.3755865825804019,4,2,False
Method1_Raw,Q4,2011-03-31,62,0.9999999999999999,1.0,0.2112823312032843,0.1,0.3808316286629385,5,2,False
Method1_Raw,Q5,2011-03-31,62,1.0,1.0000000000000002,0.15573610129527748,0.1,0.4,4,3,False
Method2_PostMean,Q1,2011-03-31,65,1.0,1.0,0.5363356475285294,0.10000000000000002,0.4,4,2,False
Method2_PostMean,Q2,2011-03-31,62,1.0,1.0,0.34101928934384407,0.1,0.37738401120432596,4,2,False
Method2_PostMean,Q3,2011-03-31,59,1.0,0.9999999999999999,0.3686047694467628,0.1,0.35824948229253695,4,2,False
Method2_PostMean,Q4,2011-03-31,61,0.9999999999999999,0.9999999999999999,0.20297664414285002,0.1,0.39580993878537496,5,2,False
Method2_PostMean,Q5,2011-03-31,63,1.0000000000000002,1.0,0.15539561950798023,0.1,0.4,4,3,False
Method3_ProbQ5,Q1,2011-03-31,66,0.9999999999999999,1.0,0.29724306464067085,0.1,0.4,4,3,False
Method3_ProbQ5,Q2,2011-03-31,57,0.9999999999999999,1.0,0.43603376637540375,0.1,0.3862421061012883,4,2,False
Method3_ProbQ5,Q3,2011-03-31,62,1.0,1.0,0.1934969784545051,0.1,0.3908152993373687,4,3,False
Method3_ProbQ5,Q4,2011-03-31,61,0.9999999999999998,1.0,0.23390003484796912,0.1,0.34497516669061323,4,1,False
Method3_ProbQ5,Q5,2011-03-31,64,1.0,1.0,0.15833283176809948,0.1,0.4,4,3,False
Method1_Raw,Q1,2011-04-30,65,0.9999999999999999,1.0,0.5634828691012428,0.10000000000000002,0.4000000000000001,4,3,False
